price,latitude,longitude,bedrooms,bathrooms,land_size,building_size,carports,maid_bedrooms,maid_bathrooms,floors,building_age,property_condition,garages,furnishing
401000000.0,-6.358777,107.0348331,2.0,1.0,66.0,38.0,1.0,0.0,0.0,1.0,0.0,2,0.0,1
1990000000.0,-6.1817523,106.9736839,4.0,4.0,160.0,216.0,0.0,1.0,0.0,2.0,5.0,1,0.0,0
1150000000.0,-6.1817523,106.9736839,3.0,2.0,126.0,126.0,1.0,1.0,1.0,2.0,7.0,1,0.0,0
3200000000.0,-6.1817523,106.9736839,5.0,4.0,376.0,700.0,2.0,1.0,1.0,2.0,7.0,1,2.0,2
950000000.0,-6.1817523,106.9736839,3.0,2.0,66.0,87.0,1.0,0.0,0.0,2.0,0.0,1,1.0,0
1500000000.0,-6.1817523,106.9736839,2.0,2.0,126.0,80.0,0.0,1.0,1.0,2.0,0.0,1,0.0,0
1250000000.0,-6.1817523,106.9736839,2.0,2.0,84.0,56.0,1.0,0.0,0.0,2.0,0.0,2,1.0,0
1200000000.0,-6.1817523,106.9736839,5.0,3.0,152.0,200.0,1.0,1.0,1.0,2.0,0.0,2,1.0,0
3200000000.0,-6.1817523,106.9736839,5.0,5.0,376.0,700.0,3.0,0.0,0.0,2.0,0.0,1,2.0,1
850000000.0,-6.1817523,106.9736839,2.0,1.0,90.0,60.0,1.0,1.0,1.0,1.0,12.0,1,0.0,0
1280000000.0,-6.1817523,106.9736839,3.0,2.0,139.0,120.0,1.0,0.0,0.0,1.0,0.0,1,1.0,0
895000000.0,-6.1817523,106.9736839,3.0,3.0,58.0,90.0,1.0,0.0,0.0,2.0,0.0,2,1.0,1
1450000000.0,-6.1817523,106.9736839,4.0,3.0,131.0,225.0,1.0,1.0,0.0,2.0,2.0,1,1.0,0
1300000000.0,-6.1817523,106.9736839,2.0,1.0,126.0,90.0,1.0,1.0,1.0,1.0,12.0,1,0.0,0
690000000.0,-6.1817523,106.9736839,2.0,2.0,90.0,60.0,1.0,1.0,0.0,1.0,16.0,1,0.0,0
950000000.0,-6.1817523,106.9736839,2.0,1.0,90.0,120.0,1.0,0.0,0.0,2.0,0.0,1,1.0,0
1350000000.0,-6.1817523,106.9736839,4.0,3.0,90.0,160.0,1.0,0.0,0.0,2.0,0.0,1,1.0,0
1000000000.0,-6.1817523,106.9736839,3.0,2.0,138.0,120.0,1.0,0.0,0.0,1.0,0.0,1,1.0,0
2850000000.0,-6.1817523,106.9736839,3.0,3.0,160.0,216.0,1.0,1.0,1.0,3.0,5.0,2,1.0,0
342000000.0,-6.1817523,106.9736839,2.0,1.0,36.0,63.0,1.0,0.0,0.0,1.0,0.0,2,1.0,0
327000000.0,-6.1817523,106.9736839,2.0,1.0,36.0,60.0,1.0,0.0,0.0,1.0,0.0,2,1.0,0
975000000.0,-6.1817523,106.9736839,2.0,1.0,90.0,70.0,1.0,1.0,1.0,1.0,7.0,1,0.0,0
975000000.0,-6.1817523,106.9736839,3.0,2.0,90.0,70.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0
1370000000.0,-6.1817523,106.9736839,4.0,3.0,105.0,100.0,0.0,0.0,0.0,2.0,7.0,1,0.0,1
1370000000.0,-6.1817523,106.9736839,4.0,3.0,105.0,100.0,1.0,0.0,0.0,2.0,0.0,1,0.0,0
1550000000.0,-6.1817523,106.9736839,2.0,3.0,114.0,228.0,0.0,1.0,0.0,2.0,0.0,1,1.0,0
1250000000.0,-6.1817523,106.9736839,2.0,2.0,108.0,69.0,0.0,1.0,0.0,1.0,5.0,1,0.0,0
168000000.0,-6.1817523,106.9736839,2.0,1.0,60.0,29.0,1.0,0.0,0.0,1.0,0.0,2,1.0,0
1400000000.0,-6.1817523,106.9736839,3.0,1.0,144.0,77.0,0.0,1.0,1.0,1.0,0.0,1,0.0,0
799000000.0,-6.1817523,106.9736839,3.0,2.0,77.0,140.0,0.0,1.0,0.0,2.0,0.0,1,0.0,1
779000000.0,-6.1817523,106.9736839,3.0,2.0,54.0,63.0,1.0,0.0,0.0,2.0,0.0,2,0.0,0
775000000.0,-6.1817523,106.9736839,2.0,1.0,66.0,60.0,1.0,0.0,0.0,1.0,0.0,1,0.0,0
2150000000.0,-6.1817523,106.9736839,3.0,3.0,144.0,157.0,2.0,1.0,1.0,2.0,8.0,1,2.0,0
1750000000.0,-6.1817523,106.9736839,2.0,2.0,179.0,56.0,1.0,0.0,0.0,2.0,2.0,2,0.0,0
